pm25,pm10,no,no2,so2
137.75,266.38,6.96,41.01,7.5
78.71,171.46,4.75,38.91,7.98
103.96,226.06,11.7,48.62,8.19
122.72,267.75,16.29,49.5,8.69
114.83,233.65,18.63,44.41,9.72
140.21,286.5,27.56,40.9,6.08
120.46,250.73,3.54,40.42,9.88
91.5,174.25,8.71,44.32,8.76
80.29,153.85,22.74,35.72,7.41
87.54,212.96,22.45,37.6,9.14
108.17,231.62,5.4,39.77,8.19
101.71,203.92,5.97,40.99,6.5
114.67,264.29,28.02,47.22,10.28
115.42,276.58,31.62,43.88,7.92
128.54,298.29,16.69,43.9,9.06
98.71,235.96,5.49,40.54,9.24
91.71,219.25,7.81,43.99,10.35
116.25,279.17,19.05,49.47,12.16
81.33,201.2,4.05,34.14,10.37
88.5,208.42,3.21,21.34,10.97
75.58,186.29,2.14,12.94,6.43
72.17,152.29,2.55,14.92,6.6
57.2,149.04,2.6,13.94,6.04
94,237.08,9.11,25.5,9.7
118.17,241.47,5.46,26.27,2.5
124.81,295.12,23.6,35.04,5.82
99,230.95,8.8,23.03,4.06
151.46,335.62,35.25,28.45,7.82
120.88,362.79,31.84,28.79,6.9
92.62,275.36,5.84,31.78,11.4
73.78,170.75,3.85,21.72,10.15
70.62,191.13,8.23,27.15,12.27
60.21,132.33,6.04,24.54,9.05
42.17,122.91,2.83,20.77,11.54
79.82,196.88,4.8,31.17,11.29
81.75,176.79,4.97,25.76,8.44
49.12,92.08,3.53,20.94,9.57
35.88,62.99,3.61,19.11,6.05
51.82,109.79,12.46,24.11,8.01
72.56,173.49,3.58,25.15,5.98
171.67,320.79,27.71,48.58,9.63
224.62,389.67,15.95,58.23,11.9
143.29,299.83,14.39,53.64,9.39
162.29,342.54,16.42,55.89,10.34
181.42,355.25,14.38,57.19,11.82
147.12,296.71,5.43,41.84,9.99
150.58,285.04,4.34,35.1,12.8
134.34,261.29,4.69,39.89,8.92
140.46,271.08,7.27,46.54,9.1
122.67,284.73,12.59,49.3,11.02
208.89,407.76,59.06,64.15,7.6
235.79,435.12,47.21,65.9,6.09
326.58,499.8,19.7,53.42,3.07
323.5,479.58,22.79,52.63,3.33
270.83,433,34.09,51.86,2.63
160.61,290.69,4.24,41.01,2.9
155.76,329,4.31,38.28,4.9
154.13,274.08,6.84,33.61,2.09
188.71,301.71,23.01,43.95,1.42
244.62,368.96,26.83,42.64,1.19
239.96,407.78,8.92,45.08,0.97
252.91,458.28,17.52,42.93,5.16
209.16,332.42,18.37,36.49,9.34
106.12,207.99,7.47,43.19,9.68
161.54,290.46,14.12,48.25,9.57
218.58,337.28,16.89,38.79,9.24
250.97,398.75,52.58,41.88,10.12
275.33,417.38,39.14,39.35,5.91
243.58,372.54,24.92,47.77,9.09
186.86,274.83,10.51,49.26,8.67
210.73,320.09,10.59,46.57,7
208.66,348.54,4.19,44.07,5.17
82.21,135.29,4.06,34.59,7.71
126.08,205.38,6.18,33.73,8.25
148.62,242.21,11.89,38,7.79
124.92,211.5,3.81,35.71,9.73
126.12,215,4.43,27.91,5.61
124.29,212.54,4.57,27.59,3.09
127.96,228.67,6.61,31.83,2.95
144.04,237.01,8.61,39.28,2.39
141.5,261.54,18.57,39,2.77
112.17,188.08,3.93,35.23,2.37
147.04,248.46,8.68,39.24,4.01
203.79,333.83,29.33,42.91,6.14
193.38,294.57,6.56,36.99,4.43
153.58,238.38,4.63,40.7,6.01
190.33,301.21,10.88,44.75,9.73
199.51,286.72,10.49,43.43,8.94
249.67,400.21,21.27,47.39,9.58
237.88,376.88,16.68,50.78,9.42
208.88,373.92,27.13,49.82,9.76
163.33,306.62,26.22,46.62,8.08
189.47,371.67,34.96,49.75,10.1
111.02,179.24,2.87,27.85,6.3
52.5,159.5,4.6,24.01,5.69
73.96,162.62,3.67,25.62,5.33
142.12,241.62,9.01,32.77,7.25
142.71,221.62,6.07,35.06,7.17
121.04,189.29,7.14,30.26,4.73
91.21,151.29,9.68,27.37,5.08
115.12,202.09,12.05,33.95,3.27
150.17,241.38,14.86,46.82,4.35
101.43,190.27,11.01,33.22,5.01
97.62,157.79,7.59,28.22,4.15
118.42,193.67,5.45,35.7,5.7
148.88,261.54,32.05,33.57,5.89
101.88,210.88,2.97,33.91,7.59
96.54,196.08,2.79,34.18,7.3
92.35,200.77,2.64,37.01,6.12
84.38,179.23,5.31,38.38,9.79
159.94,343.11,33.86,51.07,11.34
