pm25,pm,no,no2,so2
52.15,68.07,5.14,15.7,5.5
57.16,74.77,5.46,16.67,5.83
55.28,72.1,6.17,18.84,6.55
45.06,58.74,7.21,22.04,7.57
39.37,51.37,5.7,17.42,6.1
42.11,55.16,8.05,24.6,8.51
44.07,57.43,7.42,22.67,7.84
34.28,44.66,10.57,32.31,11.23
31.85,41.53,7.97,24.36,8.44
32.05,41.82,6.67,20.39,7.01
34.94,45.57,5.85,17.88,6.27
34.51,45.04,7.07,21.62,7.58
38.71,52.56,8.63,26.39,9.17
46.11,51.32,8.55,26.11,9.06
55.32,64.3,9.05,27.65,9.65
53.95,60.03,9.71,29.68,10.25
44.85,49.89,7.87,24.06,8.39
43.24,48.1,5.94,18.14,6.31
35.49,39.53,5.75,17.57,6.09
32.68,36.29,7,21.4,7.45
26.67,29.74,6.32,19.33,6.71
25.54,28.42,5.24,16.01,5.64
25.05,27.79,5.83,17.84,6.25
26.07,29.07,5.56,17,5.87
35.69,39.69,6.98,21.35,7.43
18.78,34.24,5.41,16.54,5.81
16.15,29.55,6.34,19.38,6.79
21.28,38.77,6.71,20.49,7.1
23.54,42.81,5.35,16.37,5.69
27.23,49.6,6.15,18.78,6.54
24.82,45.35,9,27.52,9.5
22.89,41.83,7.88,24.11,8.43
20.11,36.48,11.11,33.99,11.86
30.56,55.7,17.21,52.61,18.27
31.63,57.4,13.61,41.61,14.28
29.81,54.23,8.13,24.86,8.58
25.92,46.99,7.6,23.23,8.02
20.11,36.59,5.01,15.32,5.35
12.64,23.05,5.98,18.28,6.43
21.42,39.02,8.34,25.51,8.87
23.49,42.93,9.11,27.88,9.74
21.31,38.87,8.18,24.98,8.61
16.11,29.37,6.82,20.83,7.28
18,32.83,7.35,22.46,7.81
11.65,21.4,7.4,22.61,7.87
9.11,16.72,5.7,17.43,6.07
10.13,18.47,5.77,17.62,6.1
11.9,21.7,4.57,13.96,4.81
14.76,26.95,4.73,14.45,4.98
14.91,27,5.76,17.6,6.14
55.82,113.92,16.17,34.59,6.89
72.38,139.62,12.64,27.04,5.38
63.25,136.09,10.77,23.05,4.57
73.29,131.89,12.56,26.88,5.36
65.93,130.16,15.36,32.87,6.57
71.92,131.09,9.85,21.09,4.21
60.56,120.51,12.9,27.61,5.48
66.43,114.78,11.83,25.31,5.02
65.2,123.25,12.69,27.16,5.44
28,75.29,15.19,32.51,6.55
20.5,56.09,9.63,20.62,4.34
42.79,94.67,18.54,39.68,7.9
57.55,125.83,12.83,27.45,5.46
62.62,120.36,11.53,24.66,4.94
69.05,139.04,12.48,26.69,5.32
66.06,138.95,14.5,31.03,6.24
71.2,134.53,13.85,29.63,5.95
46.39,117.69,12.89,27.58,5.54
52.34,101.3,10.38,22.22,4.45
51.07,104,12.61,26.98,5.37
69.07,146.55,11.97,25.62,5.04
62.14,133.37,13.65,29.22,5.82
61.13,133.52,12.41,26.54,5.32
71.91,136.92,14.8,31.68,6.26
69.45,None,15.8,33.82,6.71
64.12,107.82,11.94,25.55,5.03
79.44,143.19,12.02,25.72,5.07
None,148.29,14.77,31.6,6.31
68,142.33,10.76,23.02,4.58
57.8,140.8,17.02,36.4,7.66
59.04,144.6,11.42,24.45,4.87
74,163.54,14.11,30.18,5.97
77.92,165.93,14.33,30.65,6.11
73.51,152.45,12.51,26.76,5.3
72.52,126.4,11.07,23.68,4.71
70.74,123.12,10.4,22.27,4.38
52.08,118.39,11.58,24.78,4.92
52.62,112.05,12.91,27.64,5.46
43.96,89.95,14.62,31.29,6.24
44.91,100.68,11.27,24.11,4.81
43.52,94.95,14.83,31.73,6.31
53.14,111.28,12.99,27.81,5.53
57.79,118.57,13.26,28.37,5.61
65.24,116.34,13.8,29.5,5.91
65.14,108.52,9.64,20.63,4.1
59.71,94.14,13.63,29.17,5.8
51.23,93.29,15.71,34.55,7.35
50.45,100.13,12.89,29.55,6.83
51.89,107.99,9.61,22.04,5.05
51.19,103.03,9.18,21.04,4.86
65.17,119.26,11.63,26.65,6.16
54.53,106.31,12.19,27.96,6.51
61.76,122.33,9.72,22.28,5.14
64.47,128.96,11.24,25.77,5.98
66.97,123.32,9.18,21.05,4.92
55.56,107.21,11.15,25.57,5.91
59.6,121.37,12.62,28.93,6.7
64.92,129.37,8.92,20.46,4.72
66.24,134.55,9.22,21.15,4.9
69.11,140.68,13.96,32,7.65
75.71,155.68,10.22,23.43,5.46
80.83,145.59,10.26,23.53,5.4
73.33,153.38,11.26,25.83,5.96
78.77,162.64,10.84,24.85,5.77
74.03,151.18,10.69,24.51,5.69
67.92,111,11.44,26.22,6.05
69.71,145,11.17,25.6,5.92
61.16,133.26,12.15,27.85,6.59
49.93,96.71,9.41,21.6,4.96
45.86,97.85,10.86,24.92,5.85
51.15,103.05,16.41,37.63,9.45
55.79,111.63,10.45,23.94,5.58
63.07,120.15,11.71,26.84,6.25
59.8,118.14,11.87,27.2,6.35
64.81,124.4,9.72,22.29,5.18
67.38,117.63,14.3,32.78,7.76
70.61,124.43,12.47,28.58,6.66
66.99,116.45,11.68,26.79,7.44
64.33,112.72,11.17,25.61,5.95
55.67,104.96,10.13,23.23,5.4
60.17,100.85,10.1,23.18,5.38
