pm25,pm10,no,no2,so2
78.5,119.58,44.29,67.23,14.72
81.42,180.2,128.55,74.75,16.53
79.8,173.34,103.26,69.33,10.95
66.66,152.46,79.49,68.14,18.27
72.96,150.54,68.5,72.49,20.95
68.31,158.88,118.51,59.4,21.82
65.19,115.07,33.09,38.88,2.64
68.2,138.05,80.94,70.43,9.42
52.42,150.79,66.62,33.92,5.36
67.36,154.16,70.43,29.16,3.63
71.27,152.22,67.06,29.08,5.15
80.35,177.4,83.41,30.61,5.93
63.35,170.16,83.05,28.28,4
65.23,142.89,99.67,42.38,7.63
47.91,112.54,69.15,40.68,4.19
29.17,58.6,38.28,45.55,2.5
47.89,89.94,44.43,44.6,1.92
86.45,174.29,31.5,55.3,1.39
82.05,186.19,55.62,58.04,6.15
77.59,149.96,60.18,44.87,4.09
74.78,164.17,109.43,42.18,9.52
62.04,130.25,51.98,50.69,3.24
52.88,117.47,58.49,43.62,3.28
27.9,80.36,63.12,31.29,4.16
20.22,56.56,41.18,26.83,3.2
22.07,75.55,46.15,29.4,3.36
28.15,90.01,53.73,28.12,4.17
30.97,85.75,48.97,37.38,3.04
68.3,144.94,51.43,39.56,3.89
60.04,123.28,68.19,45.29,7.43
48.66,127.55,125.46,45.66,6.31
45.19,108.02,58.91,43.27,5.08
34.37,74.46,28.7,32.55,1.53
69.58,130.1,98.81,68.22,2.73
65.16,148.94,117.76,60.08,8.88
66.08,148.38,98.54,59.37,10.51
59.33,115.11,27.48,40.7,0.89
56.07,94.98,19.01,44.29,1.15
61.27,135.88,65.74,51.14,2.37
22.59,95.49,30.19,39.29,1.24
14.61,112.44,22.7,26.44,1.24
13.85,89.01,21.47,23.13,1.84
18.08,104.87,33.42,27.03,1.76
21.85,99.3,50.48,31.48,3.1
18.12,59,43.61,26.14,1.75
23.54,87.31,35.05,30.06,2.4
28.38,81.7,61.91,39,3.31
43.7,105.94,149.3,38.7,6.18
75.21,231.02,14.85,46.49,6.3
78.9,171.2,15.89,37.92,0.07
96.61,185.13,39.98,62.31,7.2
84.15,162.62,34.08,58.84,8.06
58.38,143.17,20.75,52.96,7.26
84.29,155.85,8.17,51.75,13.18
56.99,124.42,16.82,52.57,6.74
69.17,169.78,25.86,56.57,5.96
67.92,160.23,40.51,52.45,7.19
72.31,156.3,77.24,45.53,6.99
61.06,130.17,20.54,53.27,6.5
52.51,129.56,22.23,53,6.83
63.56,175,53.68,54.33,7.41
78.13,162.98,34.13,51,12.9
73.16,167.68,44.69,57.2,9.18
65.31,157.94,36.62,38.85,8.87
77.14,173.54,39.48,58.86,8.54
61.67,162.29,26.63,56.87,7.39
46.73,131.68,23.66,51.96,6
31.29,141.32,31.11,46.5,5.08
37.82,111.4,35.93,45.23,6.05
71.93,132.56,32.89,50.94,7.64
48.24,109.62,32.09,48.39,8.65
30.96,86.42,24.97,32.98,7.98
53.97,129.6,46.08,45.34,9.54
76.56,151.43,53.19,42.89,4.72
74.81,141.83,44.86,45.81,3.8
61.99,130.14,32.18,43.86,9.2
54.98,121.06,24.65,52.83,10.96
48.1,119.42,35.09,50.5,11.14
17.86,99.05,16.69,44.53,6.69
38.57,70.37,13.52,31.77,5.58
40.67,109.41,33.1,33.55,5.34
40.61,140.92,28.62,47.2,5.61
40.73,167.52,21.82,37.2,5.8
40.78,138.1,22.02,49.36,5.95
40.59,146.76,24.48,48.14,6.41
40.52,167.8,37.57,52.37,7.32
40.78,156.6,45.43,51.25,7.99
40.5,169.4,59.9,43.36,7.24
40.84,180.89,54.59,47.92,7.89
40.48,218.49,39.81,56.64,8.38
47.86,147.22,20.49,51.56,7.07
91.28,213.79,51.2,64.59,5.85
48.5,144.98,52.06,44.6,3.61
28.53,98.71,43.03,56.71,2.99
28.55,98.75,27.18,41.17,3.02
28.5,98.57,24.19,39.88,3
28.48,98.48,8.06,31.89,2.97
34.49,109.07,14.53,36.65,3
74.62,140.49,20.53,50.76,3.75
76.53,156.99,49.88,63.53,5.32
70.42,142.97,57.31,42.54,5.55
36.56,81.92,7.68,36.14,3.76
37.37,103.79,54.46,36.03,4.17
50.88,135.43,35.53,42.07,4.22
64.57,114.42,None,10.39,5.5
27.37,60.32,2.62,21.88,3.69
26.6,66.28,1.38,18.22,4.22
43.36,115.55,24.95,50.37,4.65
59.02,131.23,17.81,48.64,3.01
52.26,106.49,8.17,38.11,3
58.85,137.72,35.55,48.13,3.06
82.97,169.73,34.5,47.96,4.13
66.01,130.02,37.74,46.3,4.7
72.89,166.18,76.28,48.79,4.89
69.36,156.15,57.15,50.8,5.12
66.2,143.56,27.43,36.05,4.7
69.74,173.93,79.44,47.72,4.95
57.62,121.35,9.67,39.26,5.51
48.51,103.97,13.48,50.02,5.28
68.09,175.95,48.16,60.93,6.62
65.78,141.86,37.13,52.85,3.05
65.19,143.47,35.93,58.37,6.75
69.41,164.39,72.98,54.31,7.77
81.08,203.68,103.04,46.77,8.29
59,142.69,57.28,55.25,9.95
42.88,98.25,21.47,26.99,6.55
32.89,81.69,1.52,33.41,5.18
