pm25,pm10,no,no2,so2
93.02,166.84,6.65,25.48,7.1
86.14,159.02,7.24,28.25,3.81
75.9,154.3,5.97,31.06,7.37
68.45,146.86,6.99,45,3.54
66.43,188.11,41.82,83.75,9.97
61.06,157.83,28.84,65.94,29.4
75.74,222.76,44.97,52.25,15.65
72,171.4,21.99,51.53,11.13
77.99,208.45,50.05,74.26,7.62
59.54,173.21,49.26,65.85,5.43
62.56,201.28,50.21,83.8,8.46
78.74,241.28,60.44,94.62,14.86
81.91,236.53,44.68,80.6,16.51
70.57,172.76,12.9,70.44,15.4
75.91,164.75,28.09,38.88,6.06
74.72,170.26,35.24,45.25,4.58
67.81,185.01,40.76,58.64,5.94
58.57,159.25,60.44,73.25,4.78
42.55,110.71,10.9,34.1,7.34
30.72,85.27,9.46,37.23,0.91
47.52,136.99,23.28,63.07,10.68
26.22,98.33,17.33,61.69,7.24
38.42,115.49,18.75,55.1,7.8
28.66,121.75,28.79,52.12,8.99
50.99,204.97,62.12,59.62,19.39
29.21,84.06,12.38,51.3,5.77
51.34,138.47,14.16,65.57,21.49
74.78,209.48,19.79,72.31,50.53
56.76,166.21,16.41,87.03,38.65
42.27,141.04,11.89,75.4,16.05
45.94,147.92,21.64,71.23,23.26
59.79,154.31,25.04,69.97,22.43
67.45,175.97,33.16,66.81,20.64
60.55,144.18,17.15,53.5,17.85
35.41,97.35,9.17,37.3,7.53
40.76,104.28,9.44,45.13,6.27
60.18,156.22,12.64,59.95,15.54
54.76,165.34,24.07,70.76,32.77
35.61,119.98,29.83,57.9,36.34
40.8,132.04,24.25,44.66,41.75
30.09,121.75,19.41,39.15,29.32
25.85,121.93,17,37.53,30.6
21.09,98.81,15.3,37.11,19.99
16.79,77.03,19.4,39.22,19.3
15.66,71.97,26.45,38.33,26.93
25.53,85.52,14.72,42.9,10.07
20.95,92.89,15.11,54.19,16.94
18.07,67.45,11.77,34.14,17.41
25.76,140.7,29.67,40.68,12.58
123.6,214.16,3.04,29.62,11.77
115.7,200.3,2.41,28.99,10.21
88.26,168.32,7.32,42.38,13.36
135.11,215.82,26.16,57.94,9.41
76.63,146.31,23.32,45.84,6.13
90.35,174.49,3.27,31.6,7.76
79.29,165.14,2.91,39.88,15.66
49.28,126.77,5.46,47.71,14.73
32.99,99.38,7.14,53.96,8.18
38.08,104.3,4.01,50.45,14.63
35.98,96.04,10.72,45.29,13.58
36.9,99.55,6.62,45.3,8.42
50.46,139.8,26.72,69.13,5.49
103.43,223.73,38.6,94.55,15.5
103.15,224.88,26.38,68.63,11.54
81.21,153.56,4.39,42.37,14.64
100.54,234.88,51.92,127.32,33.81
107.47,247.88,62.71,104.94,33.64
116.65,265.7,62.34,122.38,31.99
118.74,249.49,38.24,85.45,23.85
86.09,259.71,41.76,84.15,4.73
88.83,252.96,60.7,61.5,5.3
79.8,196.5,12.33,40.59,3.14
77.24,145.25,13.58,20.88,2.6
55.56,118.49,13.1,33.84,3.17
82.17,214.32,38.91,55.52,9.15
86.27,227.47,36.89,77.85,16.25
102.68,291.53,38.82,67.07,12.16
108.47,250.96,52.75,76.39,4.35
106.65,246.94,53.46,59.47,7.47
95.52,168.92,7.04,25.08,2.55
123.71,263.8,33.43,53.88,4.97
